Squad,#Pl,TacklesTkl,TacklesTklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,PressuresPress,PressuresSucc,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Int,Tkl+Int,Err
Arsenal,27,560,344,257,207,96,178,410,43.4,232,4660,1388,29.8,1372,1872,1416,468,1028,12
Aston Villa,30,668,390,335,254,79,244,567,43,323,5349,1498,28,1788,2352,1209,570,1238,6
Brentford,29,681,391,333,248,100,254,591,43,337,5416,1550,28.6,1944,2279,1193,571,1252,12
Brighton,26,710,444,319,274,117,237,562,42.2,325,5535,1792,32.4,1758,2218,1559,555,1265,14
Burnley,23,618,354,292,247,79,220,548,40.1,328,5400,1456,27,1732,2319,1349,612,1230,10
Chelsea,25,634,382,266,267,101,203,516,39.3,313,5404,1661,30.7,1612,2310,1482,550,1184,13
Crystal Palace,24,665,411,327,252,86,220,501,43.9,281,5695,1700,29.9,1973,2490,1232,535,1200,6
Everton,32,736,462,376,265,95,287,672,42.7,385,6026,1803,29.9,2094,2570,1362,578,1314,10
Leeds United,29,846,466,434,313,99,367,857,42.8,490,6928,2067,29.8,2416,3004,1508,615,1461,13
Leicester City,28,735,429,351,292,92,255,647,39.4,392,5825,1676,28.8,1998,2576,1251,520,1255,14
Liverpool,27,575,358,206,257,112,191,538,35.5,347,5205,1681,32.3,1274,2288,1643,542,1117,7
Manchester City,26,496,318,172,222,102,183,471,38.9,288,4178,1356,32.5,913,1837,1428,429,925,7
Manchester Utd,28,619,379,326,219,74,220,541,40.7,321,4883,1419,29.1,1684,2126,1073,552,1171,10
Newcastle Utd,29,684,394,368,242,74,245,605,40.5,360,5320,1431,26.9,1944,2223,1153,588,1272,8
Norwich City,28,667,387,349,254,64,253,629,40.2,376,6040,1541,25.5,2370,2453,1217,615,1282,8
Southampton,25,647,391,300,260,87,217,574,37.8,357,5726,1752,30.6,1878,2454,1394,664,1311,9
Tottenham,25,682,367,313,283,86,229,556,41.2,327,5368,1486,27.7,2006,2305,1057,535,1217,4
Watford,30,671,407,378,233,60,241,581,41.5,340,5562,1593,28.6,2037,2389,1136,655,1326,11
West Ham,25,539,340,275,193,71,216,551,39.2,335,4772,1330,27.9,1702,2016,1054,533,1072,4
Wolves,26,715,455,403,245,67,246,602,40.9,356,5421,1606,29.6,2068,2361,992,551,1266,8
